title;author;soldBy;stars;price;isKindleUnlimited;isBestSeller;Genre;publishedYear
Zero Days;Ruth Ware;Simon and Schuster Digital Sales Inc;4.1;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Bad Summer People: A Novel;Emma Rosenblum;Macmillan;3.9;14.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Homecoming: A Novel;Kate Morton;HarperCollins Publishers;4.4;15.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Sacrifice: A Dark Revenge Romance;Shantel Tessier;Amazon.com Services LLC;4.5;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Local Woman Missing: A Novel of Domestic Suspense;Mary Kubica;Harlequin Digital Sales Corp.;4.4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
The Sinner: A Dark College Romance;Shantel Tessier;Amazon.com Services LLC;4.4;4.99;TRUE;TRUE;Mystery, Thriller & Suspense;2022
The Surgeon: An utterly unputdownable and pulse-pounding psychological thriller packed with twists;Leslie Wolfe;Amazon.com Services LLC;4.2;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Don't Let Her Stay: An unputdownable psychological thriller with a breathtaking twist;Nicola Sanders;Amazon.com Services LLC;4.3;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
I Will Find You;Harlan Coben;Hachette Book Group;4.5;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Block Party: A Novel;Jamie Day;Macmillan;4.1;14.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The Guest: A Novel;Emma Cline;Random House LLC;3.4;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Breakthrough Effect: A Science-Fiction Thriller;Douglas E. Richards;Amazon.com Services LLC;4.5;6.99;TRUE;TRUE;Mystery, Thriller & Suspense;2023
The Girl Who Was Taken: A Gripping Psychological Thriller;Charlie Donlea;Amazon.com Services LLC;4.4;9.99;TRUE;TRUE;Mystery, Thriller & Suspense;2018
Reykjavík: A Crime Story;Ragnar Jónasson;Macmillan;4.1;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Layla;Colleen Hoover;Amazon.com Services LLC;4.2;5.99;TRUE;FALSE;Mystery, Thriller & Suspense;2020
The Perfect Son: A gripping psychological thriller with a breathtaking twist;Freida McFadden;Amazon.com Services LLC;4.5;3.99;TRUE;TRUE;Mystery, Thriller & Suspense;2019
Rock Paper Scissors: A Novel;Alice Feeney;Macmillan;4.1;12.99;TRUE;FALSE;Mystery, Thriller & Suspense;2021
Devious Lies: A Standalone Enemies-to-Lovers Romance;Parker S. Huntington;Amazon.com Services LLC;4.3;4.99;TRUE;TRUE;Mystery, Thriller & Suspense;2019
Pretty Girls: A Novel;Karin Slaughter;HarperCollins Publishers;4.2;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2015
Hidden Pictures: A Novel;Jason Rekulak;Macmillan;4.4;12.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
The Guest List: A Reese's Book Club Pick;Lucy Foley;HarperCollins Publishers;4.2;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2020
The Outsider: A Novel;Stephen King;Simon and Schuster Digital Sales Inc;4.5;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2018
The Locked Door: A gripping psychological thriller with a jaw-dropping twist;Freida McFadden;Amazon.com Services LLC;4.4;3.99;TRUE;TRUE;Mystery, Thriller & Suspense;2021
The Maid: A Novel (Molly the Maid Book 1);Nita Prose;Random House LLC;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
What Never Happened: A Thriller;Rachel Howzell Hall;Amazon.com Services LLC;4;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
